address,addressPointId,apn,apnStatus,leafTractNumber,allContainingTractIds,streetNameNormalized,neighborhood,village,matchStatus,sourceIds
57 HINTERLAND WAY,87085813,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,HINTERLAND WAY,Valmont,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
31 SHIVELY RD,52065187,,NOT_IN_REPOSITORY - request APN from County; do not infer,16119,LH-TRACT-16119;LH-TRACT-16156,SHIVELY RD,Willow Bend 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
23 TISBURY WAY,52064135,,NOT_IN_REPOSITORY - request APN from County; do not infer,15911,LH-TRACT-15911;LH-TRACT-15813,TISBURY WAY,Reston 4,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
33 BLAKEMORE DR,52062869,,NOT_IN_REPOSITORY - request APN from County; do not infer,15618,LH-TRACT-15618;LH-TRACT-15615,BLAKEMORE DR,Amberly Lane 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
84 GARRISON LOOP,87085039,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,GARRISON LOOP,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
16 CLEMATIS ST,52065164,,NOT_IN_REPOSITORY - request APN from County; do not infer,16126,LH-TRACT-16126;LH-TRACT-16156,CLEMATIS ST,Astoria 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
10 CLAYMONT DR,52062792,,NOT_IN_REPOSITORY - request APN from County; do not infer,15622,LH-TRACT-15622;LH-TRACT-15615,CLAYMONT DR,Whispering Creek 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
25 ALCOTT ST,87030594,,NOT_IN_REPOSITORY - request APN from County; do not infer,16347,LH-TRACT-16347;LH-TRACT-16341,ALCOTT ST,Walden Park 1,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 KELFIELD DR,87030884,,NOT_IN_REPOSITORY - request APN from County; do not infer,16348,LH-TRACT-16348;LH-TRACT-16341,KELFIELD DR,Arborage 1,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
48 SHERIDAN LN,92774396,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,SHERIDAN LN,Briar Rose 1,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
76 MERCANTILE WAY UNIT 301,91408659,,NOT_IN_REPOSITORY - request APN from County; do not infer,15884,LH-TRACT-15884,MERCANTILE WAY,The Gables 2,Township,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
10 FALABELLA DR,87034319,,NOT_IN_REPOSITORY - request APN from County; do not infer,16241,LH-TRACT-16241;LH-TRACT-16234,FALABELLA DR,Lexington 2,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
47 MICHAEL RD,92698090,,NOT_IN_REPOSITORY - request APN from County; do not infer,15990,LH-TRACT-15990,MICHAEL RD,Amarante 2 / Bellataire 2,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
28 CERNER CT,52065488,,NOT_IN_REPOSITORY - request APN from County; do not infer,16247,LH-TRACT-16247;LH-TRACT-16203,CERNER CT,Chesapeake 2,Wycliffe,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
55 DOWNING ST,87034288,,NOT_IN_REPOSITORY - request APN from County; do not infer,16237,LH-TRACT-16237;LH-TRACT-16234,DOWNING ST,Lexington 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
