address,addressPointId,apn,apnStatus,leafTractNumber,allContainingTractIds,streetNameNormalized,neighborhood,village,matchStatus,sourceIds
18 HALF MOON TRL,87081329,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,HALF MOON TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
23 HALF MOON TRL,87081346,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,HALF MOON TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
52 HALF MOON TRL,87081349,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,HALF MOON TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
60 HALF MOON TRL,87081353,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,HALF MOON TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
53 HALF MOON TRL,87081371,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,HALF MOON TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
107 SANSOVINO,87084227,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
104 SANSOVINO,87084237,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
97 SANSOVINO,87084241,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
73 SANSOVINO,87084251,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
94 SANSOVINO,87084255,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
76 SANSOVINO,87084264,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
64 SANSOVINO,87084291,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
59 SANSOVINO,87084300,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
53 SANSOVINO,87084303,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,SANSOVINO,Sansovino,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 CHADRON CIR,87085054,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 CHADRON CIR,87085057,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
125 CHADRON CIR,87085060,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
85 CHADRON CIR,87085077,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
76 CHADRON CIR,87085080,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
53 CHADRON CIR,87085122,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
47 CHADRON CIR,87085125,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
39 CHADRON CIR,87085128,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
36 CHADRON CIR,87085136,,NOT_IN_REPOSITORY - request APN from County; do not infer,15827,LH-TRACT-15827,CHADRON CIR,Chambray,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
78 VALMONT WAY,87085834,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,VALMONT WAY,Valmont,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
65 GAZANIA WAY,42060274,,NOT_IN_REPOSITORY - request APN from County; do not infer,16157,LH-TRACT-16157,GAZANIA WAY,Berkshire,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 ANDROMEDA ISLE,52005278,,NOT_IN_REPOSITORY - request APN from County; do not infer,16414,LH-TRACT-16414;LH-TRACT-15987,ANDROMEDA ISLE,Skye Isle 1 & 3,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 JOHN ST,52005560,,NOT_IN_REPOSITORY - request APN from County; do not infer,16472,LH-TRACT-16472,JOHN ST,Segovia,Covenant Hills,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
71 ORANGE BLOSSOM CIR,52031639,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,ORANGE BLOSSOM CIR,Branches,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 BAYLEY ST,52031651,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,BAYLEY ST,Davenport,Wycliffe,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
38 ALBANY ST,52031800,,NOT_IN_REPOSITORY - request APN from County; do not infer,15887,LH-TRACT-15887;LH-TRACT-15884,ALBANY ST,Aldenhouse,Township,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
201 SKLAR ST,52032950,,NOT_IN_REPOSITORY - request APN from County; do not infer,16156,LH-TRACT-16156,SKLAR ST,Greenbriar,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
10 WYETH ST,52062593,,NOT_IN_REPOSITORY - request APN from County; do not infer,15625,LH-TRACT-15625;LH-TRACT-15615,WYETH ST,Wyeth 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 CHANTILLY LN,52062639,,NOT_IN_REPOSITORY - request APN from County; do not infer,15623,LH-TRACT-15623;LH-TRACT-15615,CHANTILLY LN,Fairfield 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 MASON LN,52062696,,NOT_IN_REPOSITORY - request APN from County; do not infer,15626,LH-TRACT-15626;LH-TRACT-15615,MASON LN,Amberly Lane 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 WINFIELD DR,52062709,,NOT_IN_REPOSITORY - request APN from County; do not infer,15626,LH-TRACT-15626;LH-TRACT-15615,WINFIELD DR,Amberly Lane 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
38 WINFIELD DR,52062720,,NOT_IN_REPOSITORY - request APN from County; do not infer,15626,LH-TRACT-15626;LH-TRACT-15615,WINFIELD DR,Amberly Lane 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
9 WINFIELD DR,52062729,,NOT_IN_REPOSITORY - request APN from County; do not infer,15626,LH-TRACT-15626;LH-TRACT-15615,WINFIELD DR,Amberly Lane 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
19 WINFIELD DR,52062732,,NOT_IN_REPOSITORY - request APN from County; do not infer,15626,LH-TRACT-15626;LH-TRACT-15615,WINFIELD DR,Amberly Lane 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
33 SLEEPY HOLLOW LN,52062806,,NOT_IN_REPOSITORY - request APN from County; do not infer,15620,LH-TRACT-15620;LH-TRACT-15615,SLEEPY HOLLOW LN,Fairfield 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
27 SLEEPY HOLLOW LN,52062809,,NOT_IN_REPOSITORY - request APN from County; do not infer,15620,LH-TRACT-15620;LH-TRACT-15615,SLEEPY HOLLOW LN,Fairfield 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
15 SLEEPY HOLLOW LN,52062826,,NOT_IN_REPOSITORY - request APN from County; do not infer,15620,LH-TRACT-15620;LH-TRACT-15615,SLEEPY HOLLOW LN,Fairfield 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
7 SLEEPY HOLLOW LN,52062829,,NOT_IN_REPOSITORY - request APN from County; do not infer,15620,LH-TRACT-15620;LH-TRACT-15615,SLEEPY HOLLOW LN,Fairfield 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 SOMMERVILLE PL,52062832,,NOT_IN_REPOSITORY - request APN from County; do not infer,15620,LH-TRACT-15620;LH-TRACT-15615,SOMMERVILLE PL,Fairfield 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
8 BANCROFT ST,52063275,,NOT_IN_REPOSITORY - request APN from County; do not infer,15629,LH-TRACT-15629;LH-TRACT-15615,BANCROFT ST,Sarasota 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
16 BANCROFT ST,52063278,,NOT_IN_REPOSITORY - request APN from County; do not infer,15629,LH-TRACT-15629;LH-TRACT-15615,BANCROFT ST,Sarasota 1,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
9 CLAWSON ST,52063341,,NOT_IN_REPOSITORY - request APN from County; do not infer,15617,LH-TRACT-15617;LH-TRACT-15615,CLAWSON ST,Prescott 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
7 KEYSTONE DR,52063813,,NOT_IN_REPOSITORY - request APN from County; do not infer,15888,LH-TRACT-15888;LH-TRACT-15884,KEYSTONE DR,The Gables 1,Township,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
19 HEARTHSIDE RD,52063853,,NOT_IN_REPOSITORY - request APN from County; do not infer,15906,LH-TRACT-15906;LH-TRACT-15813,HEARTHSIDE RD,Chimney Corners 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
25 HEARTHSIDE RD,52063856,,NOT_IN_REPOSITORY - request APN from County; do not infer,15906,LH-TRACT-15906;LH-TRACT-15813,HEARTHSIDE RD,Chimney Corners 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 RESTON WAY,52063968,,NOT_IN_REPOSITORY - request APN from County; do not infer,15902,LH-TRACT-15902;LH-TRACT-15813,RESTON WAY,Reston 2,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
36 RESTON WAY,52063985,,NOT_IN_REPOSITORY - request APN from County; do not infer,15901,LH-TRACT-15901;LH-TRACT-15813,RESTON WAY,Reston 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
28 RESTON WAY,52063988,,NOT_IN_REPOSITORY - request APN from County; do not infer,15901,LH-TRACT-15901;LH-TRACT-15813,RESTON WAY,Reston 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
22 RESTON WAY,52063991,,NOT_IN_REPOSITORY - request APN from County; do not infer,15901,LH-TRACT-15901;LH-TRACT-15813,RESTON WAY,Reston 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 LIVINGSTON PL,52064201,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
34 LIVINGSTON PL,52064218,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
40 LIVINGSTON PL,52064221,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
46 LIVINGSTON PL,52064224,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
62 LIVINGSTON PL,52064232,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
68 LIVINGSTON PL,52064241,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
74 LIVINGSTON PL,52064244,,NOT_IN_REPOSITORY - request APN from County; do not infer,15915,LH-TRACT-15915;LH-TRACT-15827,LIVINGSTON PL,Westcott 1,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
75 LIVINGSTON PL,52064649,,NOT_IN_REPOSITORY - request APN from County; do not infer,15914,LH-TRACT-15914;LH-TRACT-15827,LIVINGSTON PL,Westcott 2,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
67 LIVINGSTON PL,52064652,,NOT_IN_REPOSITORY - request APN from County; do not infer,15914,LH-TRACT-15914;LH-TRACT-15827,LIVINGSTON PL,Westcott 2,Bridgepark,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
11 LANESBORO RD,52064695,,NOT_IN_REPOSITORY - request APN from County; do not infer,16101,LH-TRACT-16101;LH-TRACT-16155,LANESBORO RD,Sterling Glen 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 LANESBORO RD,52064698,,NOT_IN_REPOSITORY - request APN from County; do not infer,16101,LH-TRACT-16101;LH-TRACT-16155,LANESBORO RD,Sterling Glen 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
8 SHELTON CT,52064738,,NOT_IN_REPOSITORY - request APN from County; do not infer,16101,LH-TRACT-16101;LH-TRACT-16155,SHELTON CT,Sterling Glen 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
4 STRATHMORE,52064773,,NOT_IN_REPOSITORY - request APN from County; do not infer,15909,LH-TRACT-15909;LH-TRACT-15813,STRATHMORE,Clifton Heights 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 SKLAR ST,52064802,,NOT_IN_REPOSITORY - request APN from County; do not infer,16127,LH-TRACT-16127;LH-TRACT-16155,SKLAR ST,Astoria 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 AMARYLLIS ST,52064822,,NOT_IN_REPOSITORY - request APN from County; do not infer,16127,LH-TRACT-16127;LH-TRACT-16155,AMARYLLIS ST,Astoria 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 GOSSAMER PL,52064848,,NOT_IN_REPOSITORY - request APN from County; do not infer,16104,LH-TRACT-16104;LH-TRACT-16155,GOSSAMER PL,Tether Moon 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
10 GOSSAMER PL,52064851,,NOT_IN_REPOSITORY - request APN from County; do not infer,16104,LH-TRACT-16104;LH-TRACT-16155,GOSSAMER PL,Tether Moon 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 CASTOR CT,52064903,,NOT_IN_REPOSITORY - request APN from County; do not infer,16104,LH-TRACT-16104;LH-TRACT-16155,CASTOR CT,Tether Moon 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 CANDLEWIND CT,52064926,,NOT_IN_REPOSITORY - request APN from County; do not infer,16114,LH-TRACT-16114;LH-TRACT-16025,CANDLEWIND CT,Tether Moon 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
15 MERRIWEATHER PL,52064935,,NOT_IN_REPOSITORY - request APN from County; do not infer,16114,LH-TRACT-16114;LH-TRACT-16025,MERRIWEATHER PL,Tether Moon 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
40 AMY WAY,52065098,,NOT_IN_REPOSITORY - request APN from County; do not infer,16105,LH-TRACT-16105;LH-TRACT-16155,AMY WAY,Savannah,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 AMY WAY,52065101,,NOT_IN_REPOSITORY - request APN from County; do not infer,16105,LH-TRACT-16105;LH-TRACT-16155,AMY WAY,Savannah,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
16 HYDRANGEA ST,52065181,,NOT_IN_REPOSITORY - request APN from County; do not infer,16126,LH-TRACT-16126;LH-TRACT-16156,HYDRANGEA ST,Astoria 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
6 HYDRANGEA ST,52065184,,NOT_IN_REPOSITORY - request APN from County; do not infer,16126,LH-TRACT-16126;LH-TRACT-16156,HYDRANGEA ST,Astoria 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 OLIVE ST,52065227,,NOT_IN_REPOSITORY - request APN from County; do not infer,16115,LH-TRACT-16115;LH-TRACT-16025,OLIVE ST,Canopy Lane 3,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
14 MERRIWEATHER PL,52065247,,NOT_IN_REPOSITORY - request APN from County; do not infer,16115,LH-TRACT-16115;LH-TRACT-16025,MERRIWEATHER PL,Canopy Lane 3,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
8 MERRIWEATHER PL,52065250,,NOT_IN_REPOSITORY - request APN from County; do not infer,16115,LH-TRACT-16115;LH-TRACT-16025,MERRIWEATHER PL,Canopy Lane 3,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 PINK TRUMPET ST,52065307,,NOT_IN_REPOSITORY - request APN from County; do not infer,16117,LH-TRACT-16117;LH-TRACT-16025,PINK TRUMPET ST,Canopy Lane 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
15 BLUEWING LN,52065365,,NOT_IN_REPOSITORY - request APN from County; do not infer,16116,LH-TRACT-16116;LH-TRACT-16025,BLUEWING LN,Weatherhaven,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
7 BLUEWING LN,52065368,,NOT_IN_REPOSITORY - request APN from County; do not infer,16116,LH-TRACT-16116;LH-TRACT-16025,BLUEWING LN,Weatherhaven,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 BLUEWING LN,52065376,,NOT_IN_REPOSITORY - request APN from County; do not infer,16116,LH-TRACT-16116;LH-TRACT-16025,BLUEWING LN,Weatherhaven,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
10 DE LEON LN,52065661,,NOT_IN_REPOSITORY - request APN from County; do not infer,16242,LH-TRACT-16242;LH-TRACT-16234,DE LEON LN,Trail Ridge 1,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
55 LA SALLE LN,52065684,,NOT_IN_REPOSITORY - request APN from County; do not infer,16245,LH-TRACT-16245;LH-TRACT-16235,LA SALLE LN,Trail Ridge 2,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
18 LA SALLE LN,52065721,,NOT_IN_REPOSITORY - request APN from County; do not infer,16245,LH-TRACT-16245;LH-TRACT-16235,LA SALLE LN,Trail Ridge 2,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
12 LA SALLE LN,52065724,,NOT_IN_REPOSITORY - request APN from County; do not infer,16245,LH-TRACT-16245;LH-TRACT-16235,LA SALLE LN,Trail Ridge 2,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
5 CHARDONNAY DR,52065788,,NOT_IN_REPOSITORY - request APN from County; do not infer,16237,LH-TRACT-16237;LH-TRACT-16234,CHARDONNAY DR,Lexington 1,Flintridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
