address,addressPointId,allContainingTractIds,leafTractId,matchStatus,neighborhood,sourceIds,streetNameNormalized,village
9 WYETH ST    ,52062594,LH-TRACT-15625;LH-TRACT-15615,LH-TRACT-15625,exact_directory_match,Wyeth 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WYETH ST,Oak Knoll
4 CHANTILLY LN    ,52062640,LH-TRACT-15623;LH-TRACT-15615,LH-TRACT-15623,exact_directory_match,Fairfield 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHANTILLY LN,Oak Knoll
8 CHANTILLY LN    ,52062642,LH-TRACT-15623;LH-TRACT-15615,LH-TRACT-15623,exact_directory_match,Fairfield 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHANTILLY LN,Oak Knoll
10 CHANTILLY LN    ,52062643,LH-TRACT-15623;LH-TRACT-15615,LH-TRACT-15623,exact_directory_match,Fairfield 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHANTILLY LN,Oak Knoll
11 CHANTILLY LN    ,52062651,LH-TRACT-15623;LH-TRACT-15615,LH-TRACT-15623,exact_directory_match,Fairfield 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CHANTILLY LN,Oak Knoll
35 MASON LN    ,52062685,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MASON LN,Oak Knoll
21 MASON LN    ,52062691,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MASON LN,Oak Knoll
15 MASON LN    ,52062694,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MASON LN,Oak Knoll
1 MASON LN    ,52062697,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MASON LN,Oak Knoll
15 WEDGEWOOD LN    ,52062701,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WEDGEWOOD LN,Oak Knoll
21 WEDGEWOOD LN    ,52062704,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WEDGEWOOD LN,Oak Knoll
4 WINFIELD DR    ,52062706,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WINFIELD DR,Oak Knoll
22 WINFIELD DR    ,52062712,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WINFIELD DR,Oak Knoll
28 WINFIELD DR    ,52062715,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WINFIELD DR,Oak Knoll
40 WINFIELD DR    ,52062721,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WINFIELD DR,Oak Knoll
22 MASON LN    ,52062724,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MASON LN,Oak Knoll
6 WEDGEWOOD LN    ,52062726,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WEDGEWOOD LN,Oak Knoll
10 WEDGEWOOD LN    ,52062727,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WEDGEWOOD LN,Oak Knoll
25 WINFIELD DR    ,52062735,LH-TRACT-15626;LH-TRACT-15615,LH-TRACT-15626,exact_directory_match,Amberly Lane 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WINFIELD DR,Oak Knoll
31 SLEEPY HOLLOW LN    ,52062807,LH-TRACT-15620;LH-TRACT-15615,LH-TRACT-15620,exact_directory_match,Fairfield 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SLEEPY HOLLOW LN,Oak Knoll
25 SLEEPY HOLLOW LN    ,52062810,LH-TRACT-15620;LH-TRACT-15615,LH-TRACT-15620,exact_directory_match,Fairfield 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SLEEPY HOLLOW LN,Oak Knoll
21 SLEEPY HOLLOW LN    ,52062812,LH-TRACT-15620;LH-TRACT-15615,LH-TRACT-15620,exact_directory_match,Fairfield 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SLEEPY HOLLOW LN,Oak Knoll
11 SLEEPY HOLLOW LN    ,52062827,LH-TRACT-15620;LH-TRACT-15615,LH-TRACT-15620,exact_directory_match,Fairfield 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SLEEPY HOLLOW LN,Oak Knoll
2 SOMMERVILLE PL    ,52062830,LH-TRACT-15620;LH-TRACT-15615,LH-TRACT-15620,exact_directory_match,Fairfield 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SOMMERVILLE PL,Oak Knoll
1 SOMMERVILLE PL    ,52062835,LH-TRACT-15620;LH-TRACT-15615,LH-TRACT-15620,exact_directory_match,Fairfield 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SOMMERVILLE PL,Oak Knoll
1 CALM CREEK CIR    ,52062990,LH-TRACT-15628;LH-TRACT-15615,LH-TRACT-15628,exact_directory_match,Whispering Creek 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CALM CREEK CIR,Oak Knoll
2 CALM CREEK CIR    ,52063014,LH-TRACT-15628;LH-TRACT-15615,LH-TRACT-15628,exact_directory_match,Whispering Creek 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CALM CREEK CIR,Oak Knoll
11 BANCROFT ST    ,52063270,LH-TRACT-15629;LH-TRACT-15615,LH-TRACT-15629,exact_directory_match,Sarasota 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BANCROFT ST,Oak Knoll
2 BANCROFT ST    ,52063272,LH-TRACT-15629;LH-TRACT-15615,LH-TRACT-15629,exact_directory_match,Sarasota 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BANCROFT ST,Oak Knoll
4 BANCROFT ST    ,52063273,LH-TRACT-15629;LH-TRACT-15615,LH-TRACT-15629,exact_directory_match,Sarasota 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BANCROFT ST,Oak Knoll
2 CLAWSON ST    ,52063336,LH-TRACT-15617;LH-TRACT-15615,LH-TRACT-15617,exact_directory_match,Prescott 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CLAWSON ST,Oak Knoll
3 CLAWSON ST    ,52063338,LH-TRACT-15617;LH-TRACT-15615,LH-TRACT-15617,exact_directory_match,Prescott 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CLAWSON ST,Oak Knoll
19 BANCROFT ST    ,52063757,LH-TRACT-15629;LH-TRACT-15615,LH-TRACT-15629,exact_directory_match,Sarasota 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BANCROFT ST,Oak Knoll
5 KEYSTONE DR    ,52063814,LH-TRACT-15888;LH-TRACT-15884,LH-TRACT-15888,exact_directory_match,The Gables 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,KEYSTONE DR,Township
3 KEYSTONE DR    ,52063817,LH-TRACT-15888;LH-TRACT-15884,LH-TRACT-15888,exact_directory_match,The Gables 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,KEYSTONE DR,Township
5 HEARTHSIDE RD    ,52063848,LH-TRACT-15906;LH-TRACT-15813,LH-TRACT-15906,exact_directory_match,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HEARTHSIDE RD,Flintridge
