drainageContextId,contextType,featureCount,featureNames,clippedAreaSqM,clippedLengthM,drawingYearValues,asBuiltYearValues,sourceIds,statementClass,confidence,limitations
LH-DRAINAGE-WATERSHED-BOUNDARY,watershed_boundary,1,San Juan Creek,12806946.3,,,,LH-SRC-OC-WATERSHEDS;LH-SRC-CENSUS-CDP,documented_approximate,high,Current or post-study drainage context; not parcel-scale historical flow routing and not evidence of material movement between locations.
LH-DRAINAGE-LIDAR-DERIVED-STREAM-CENTERLINE,lidar_derived_stream_centerline,6,Horno_3;Trabuco_2;Trabuco_3;Trabuco_4;Trabuco_5;Trabuco_6,,2972.9,,,LH-SRC-OC-STREAMS-2016;LH-SRC-CENSUS-CDP,documented_approximate,high,Current or post-study drainage context; not parcel-scale historical flow routing and not evidence of material movement between locations.
LH-DRAINAGE-FLOOD-CONTROL-INFRASTRUCTURE,flood_control_infrastructure,40,ACJACHEMA STORM DRAIN;HORNO CREEK CHANNEL;TRABUCO CREEK CHANNEL,,6094.1,1999;2001,,LH-SRC-OC-FLOOD-CHANNELS;LH-SRC-CENSUS-CDP,documented_approximate,high,Current or post-study drainage context; not parcel-scale historical flow routing and not evidence of material movement between locations.
