id,name,facilityType,address,planningStart,constructionStart,openDate,closeDate,temporalPrecision,latitude,longitude,geometryPrecision,sourceIds,confidence,limitations,notes
LH-SCHOOL-CHAPARRAL,Chaparral Elementary School,public_elementary,29001 Sienna Parkway Ladera Ranch CA 92694,,,2001-09-01,,month,33.5617268,-117.6345850,OpenStreetMap building centroid,LH-SRC-CUSD-CHAPARRAL;LH-SRC-OSM-SCHOOLS,high,"Opening day and construction window unresolved","Official report states September 2001"
LH-SCHOOL-LRES,Ladera Ranch Elementary School,public_elementary,29551 Sienna Parkway Ladera Ranch CA 92694,,,2003-08-27,,day,33.5535100,-117.6370381,OpenStreetMap shared-campus building centroid,LH-SRC-CUSD-LRES;LH-SRC-OSM-SCHOOLS,high,"Planning and construction window unresolved","Shared campus opened as Ladera Ranch School"
LH-SCHOOL-LRMS,Ladera Ranch Middle School,public_middle,29551 Sienna Parkway Ladera Ranch CA 92694,,,2003-08-27,,day,33.5535100,-117.6370381,OpenStreetMap shared-campus building centroid,LH-SRC-CUSD-LRMS;LH-SRC-OSM-SCHOOLS,high,"Separate middle-school identity dates to 2004; exact split day unresolved","Shares campus and library with elementary school"
LH-SCHOOL-OSO-GRANDE,Oso Grande Elementary School,public_elementary,30251 Sienna Parkway Ladera Ranch CA 92694,,,2005-08-24,,day,33.5441597,-117.6398420,OpenStreetMap building centroid,LH-SRC-CDE-OSO;LH-SRC-OSM-SCHOOLS,high,"Planning and construction window unresolved","CDE CDS 30-66464-0108704"
